pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante,reward,done
67,109,-238,-267,-4,0,-1.62663,0.205,0,0
56,97,-244,-273,-5,0,-2.22029,0.197,0,0
43,84,-251,-264,-5,0,-2.94271,0.197,0,0
32,73,-250,-249,-6,0,-4.19016,0.171,0,0
17,59,-261,-253,-6,0,-4.45058,0.171,0,0
3,43,-265,-241,-5,0,-5.44928,0.153,0,0
-18,26,-278,-244,-5,0,-7.63466,0.153,0,0
-31,10,-279,-244,-4,0,-8.03094,0.153,0,0
-48,0,-269,-239,-4,0,-7.28591,0.136,0,0
-60,-11,-276,-236,-3,0,-7.81912,0.136,0,0
-74,-26,-279,-240,-3,0,-7.70664,0.121,0,0
-95,-40,-272,-243,-2,0,-2.28584,0.121,0,0
-109,-54,-273,-237,-2,0,0.372441,0.121,0,0
-124,-66,-270,-242,-1,0,5.52552,0.099,0,0
121,-77,-264,-252,-1,0,0.820465,0.099,0,0
102,-95,-258,-261,0,0,3.26216,0.077,0,0
91,-107,-249,-266,0,0,4.90383,0.077,0,0
79,-119,-251,-270,0,0,5.23313,0.077,0,0
67,123,-250,-263,0,0,0.194823,0.061,0,0
57,112,-243,-265,-1,0,0.218714,0.061,0,0
39,93,-242,-276,-1,0,0.926441,0.04,0,0
30,84,-248,-262,-1,0,-0.018029,0.04,0,0
16,63,-247,-266,-1,0,0.224601,0.034,0,0
0,52,-252,-258,-1,0,-0.337044,0.034,0,0
-9,42,-252,-257,-2,0,-1.09774,0.034,0,0
-28,23,-257,-260,-2,0,-1.111,0.016,0,0
-38,13,-265,-255,-2,0,-2.8626,0.016,0,0
-61,-10,-269,-255,-2,0,0,-0.005,0,1
-79,-30,0,0,-5,0,17.2221,0.059,0,0
-79,-30,0,0,-4,0,17.6737,0.059,0,0
-81,-33,-138,-238,-5,0,8.19605,0.059,0,0
-93,-51,-221,-339,-7,0,9.20929,0.171,0,0
-107,-69,-234,-336,-7,0,7.85136,0.171,0,0
-121,-88,-241,-297,-9,0,3.70139,0.386,0,0
125,-100,-241,-283,-10,0,1.44204,0.386,0,0
112,-114,-249,-263,-8,0,-0.340326,0.564,0,0
96,125,-250,-256,-8,0,-7.26909,0.564,0,0
86,116,-254,-251,-6,0,-5.90808,0.564,0,0
65,94,-268,-247,-2,0,-3.17426,0.63,0,0
51,83,-269,-246,-2,0,-3.13658,0.63,0,0
35,68,-274,-249,-1,0,-2.49608,0.669,0,0
21,55,-271,-252,-1,0,-2.13145,0.669,0,0
13,47,-265,-253,-1,0,-1.6641,0.669,0,0
-5,30,-256,-250,-1,0,-1.69124,0.642,0,0
-14,20,-254,-249,-1,0,-1.894,0.642,0,0
-30,1,-248,-248,0,0,-0.602244,0.63,0,0
-54,-20,-266,-246,0,0,-3.72341,0.63,0,0
-75,-37,-266,-256,1,0,-1.53988,0.628,0,0
-91,-54,-267,-253,1,0,0.322728,0.628,0,0
-113,-73,-262,-251,2,0,6.27341,0.606,0,0
126,-90,-265,-251,2,0,2.92451,0.606,0,0
109,-106,-255,-262,2,0,5.24481,0.606,0,0
88,-128,-250,-266,2,0,6.44025,0.598,0,0
79,116,-246,-265,2,0,1.41172,0.586,0,0
63,100,-248,-275,2,0,2.26319,0.586,0,0
49,85,-243,-265,2,0,2.06043,0.586,0,0
41,76,-250,-269,1,0,1.33383,0.57,0,0
25,60,-249,-266,1,0,1.36608,0.57,0,0
14,47,-253,-252,1,0,0.203293,0.57,0,0
-1,32,-248,-268,1,0,2.64188,0.539,0,0
-12,21,-254,-263,1,0,1.77272,0.539,0,0
-24,8,-254,-261,1,0,1.39112,0.495,0,0
-35,-6,-257,-256,1,0,-0.00885279,0.495,0,0
-51,-20,-255,-258,1,0,0.498363,0.495,0,0
-67,-36,-252,-264,1,0,2.1001,0.472,0,0
