pos_izq,pos_der,vel_izq,vel_der,yaw,error_traj,delta_v,dist_restante
-6,126,-324,-140,-24,-6.66667,-30.4597,0.059
-20,119,-316,-157,-20,-5.55556,-26.549,0.045
-49,105,-317,-160,-16,-4.44444,-22.3542,0.045
-70,94,-313,-155,-12,-3.33333,-17.7622,0.016
-94,79,-312,-170,-8,-2.22222,-12.6345,0.016
100,45,0,0,-44,-12.2222,-48.3333,0.369
100,45,0,0,-44,-12.2222,-48.3333,0.369
97,44,-206,-64,-42,-11.6667,-46.5476,0.375
77,37,-329,-113,-43,-11.9444,-47.4405,0.375
59,31,-279,-112,-42,-11.6667,-46.5476,0.375
41,25,-344,-118,-39,-10.8333,-43.9059,0.375
24,19,-306,-112,-36,-10,-41.2785,0.375
-4,8,-305,-99,-36,-10,-41.2785,0.375
-16,5,-305,-118,-31,-8.61111,-36.8703,0.375
-33,-3,-311,-127,-28,-7.77778,-34.1744,0.186
-47,-9,-315,-132,-25,-6.94444,-31.4037,0.186
-65,-20,-318,-138,-22,-6.11111,-28.5334,0.186
-89,-27,-314,-148,-18,-5,-24.4869,0.186
-107,-37,-319,-162,-18,-5,-24.4869,0.186
-122,-46,-315,-168,-14,-3.88889,-20.106,0.186
92,-69,0,0,42,11.6667,46.5476,0.417
92,-69,0,0,42,11.6667,46.5476,0.417
92,-69,0,0,47,13.0556,51.0306,0.484
88,-74,-98,-164,49,13.6111,52.8332,0.484
82,-93,-113,-346,43,11.9444,47.4405,0.594
74,-113,-104,-346,43,11.9444,47.4405,0.594
70,-126,-99,-323,37,10.2778,42.1515,0.594
63,107,-102,-312,41,11.3889,45.6629,0.57
58,93,-111,-315,41,11.3889,45.6629,0.57
48,69,-124,-315,39,10.8333,43.9059,0.57
44,55,-119,-310,39,10.8333,43.9059,0.666
39,43,-81,-230,39,10.8333,43.9059,0.668
31,23,-114,-300,39,10.8333,43.9059,0.668
25,5,-142,-348,37,10.2778,42.1515,0.668
16,-14,-139,-323,37,10.2778,42.1515,0.644
10,-30,-126,-318,34,9.44444,39.5203,0.644
5,-45,-116,-319,29,8.05556,35.0802,0.614
-7,-74,-129,-314,27,7.5,33.2604,0.614
-17,-97,-139,-320,27,7.5,33.2604,0.604
-24,-113,-147,-313,22,6.11111,28.5334,0.604
-33,122,-151,-312,17,4.72222,23.4314,0.58
-41,107,-154,-313,15,4.16667,21.2415,0.58
-48,92,-164,-321,15,4.16667,21.2415,0.58
-61,67,-172,-316,10,2.77778,15.2774,0.562
-71,53,-192,-303,10,2.77778,15.2774,0.562
-86,29,-202,-316,6,1.66667,9.83532,0.545
-94,16,-203,-321,2,0.555556,3.55942,0.545
-108,-5,-224,-325,2,0.555556,3.55942,0.52
-123,-24,-246,-308,0,0,0,0.52
123,-37,-273,-316,-1,-0.277778,-1.81818,0.504
102,-62,-289,-324,-3,-0.833333,-5.20155,0.504
87,-77,-313,-321,-3,-0.833333,-5.20155,0.504
72,-91,-319,-302,-3,-0.833333,-5.20155,0.482
60,-103,-320,-300,-3,-0.833333,-5.20155,0.482
38,-122,-317,-284,-3,-0.833333,-5.20155,0.453
19,116,-311,-276,-2,-0.555556,-3.55942,0.453
1,99,-315,-280,-1,-0.277778,-1.81818,0.431
-24,78,-318,-287,-1,-0.277778,-1.81818,0.431
-43,61,-320,-296,-1,-0.277778,-1.81818,0.431
-60,45,-307,-286,0,0,0,0.411
-76,30,-320,-293,1,0.277778,1.81818,0.411
-94,13,-315,-297,1,0.277778,1.81818,0.388
-114,-9,-312,-312,2,0.555556,3.55942,0.388
114,-34,-300,-311,2,0.555556,3.55942,0.369
104,-45,-285,-309,2,0.555556,3.55942,0.369
82,-68,-287,-311,2,0.555556,3.55942,0.348
64,-89,-282,-317,2,0.555556,3.55942,0.348
45,-111,-284,-317,1,0.277778,1.81818,0.341
31,-125,-281,-317,0,0,0,0.341
15,113,-285,-316,0,0,0,0.323
0,97,-289,-313,0,0,0,0.323
-14,81,-311,-320,-1,-0.277778,-1.81818,0.323
-28,67,-317,-322,-1,-0.277778,-1.81818,0.297
-41,52,-319,-316,-1,-0.277778,-1.81818,0.297
-62,35,-317,-299,-1,-0.277778,-1.81818,0.266
-78,19,-314,-294,-1,-0.277778,-1.81818,0.266
-94,3,-314,-295,0,0,0,0.243
-118,-19,-312,-295,0,0,0,0.243
124,-37,-314,-308,1,0.277778,1.81818,0.216
98,-58,-321,-318,1,0.277778,1.81818,0.216
83,-72,-319,-315,1,0.277778,1.81818,0.216
62,-93,-318,-315,1,0.277778,1.81818,0.19
48,-107,-308,-316,1,0.277778,1.81818,0.19
28,127,-299,-310,1,0.277778,1.81818,0.171
14,113,-295,-312,1,0.277778,1.81818,0.171
-2,97,-285,-309,1,0.277778,1.81818,0.171
-12,86,-292,-315,1,0.277778,1.81818,0.171
-24,73,-295,-316,1,0.277778,1.81818,0.171
-43,49,-287,-319,0,0,0,0.136
-64,29,-295,-308,0,0,0,0.136
-84,6,-308,-316,0,0,0,0.107
-104,-11,-311,-316,0,0,0,0.107
-124,-34,-317,-320,0,0,0,0.085
119,-47,-318,-315,0,0,0,0.085
99,-65,-317,-315,0,0,0,0.085
76,-87,-315,-312,0,0,0,0.062
65,-103,-311,-316,0,0,0,0.04
38,-125,-314,-317,0,0,0,0.04
15,107,-315,-319,0,0,0,0.033
-1,85,-316,-314,0,0,0,0.033
-56,35,0,2,2,0.555556,3.55942,0.006
-56,35,0,0,10,2.77778,15.2774,0.006
-56,35,0,-3,10,2.77778,15.2774,0.006
-56,35,0,-3,31,8.61111,36.8703,0.171
-61,26,-179,-220,58,16.1111,61.1604,0.171
-74,10,-255,-351,80,22.2222,75,0.19
-82,-7,-184,-349,99,27.5,75,0.19
-94,-27,-126,-325,99,27.5,75,0.312
-97,-45,-39,-314,114,31.6667,75,0.312
-97,-64,-18,-314,126,35,75,0.333
-100,-81,-40,-309,132,36.6667,75,0.333
-101,-95,-33,-203,133,36.9444,75,0.333
-102,-111,-19,-321,133,36.9444,75,0.356
-104,125,-48,-357,132,36.6667,75,0.356
-108,105,-61,-327,126,35,75,0.325
-110,89,-45,-324,126,35,75,0.325
-112,69,-38,-309,115,31.9444,75,0.293
-114,52,-37,-314,115,31.9444,75,0.293
-116,33,-40,-311,112,31.1111,75,0.268
-119,17,-43,-320,105,29.1667,75,0.268
-121,-2,-44,-313,105,29.1667,75,0.253
-125,-23,-43,-319,98,27.2222,75,0.253
-127,-48,-45,-314,92,25.5556,75,0.239
126,-63,-41,-315,92,25.5556,75,0.239
123,-83,-40,-318,85,23.6111,75,0.239
122,-97,-39,-310,78,21.6667,75,0.233
120,-111,-41,-307,78,21.6667,75,0.233
118,-125,-45,-313,78,21.6667,75,0.23
114,106,-43,-315,71,19.7222,73.9619,0.23
112,92,-45,-318,65,18.0556,67.9111,0.23
110,74,-41,-308,65,18.0556,67.9111,0.232
108,60,-43,-314,58,16.1111,61.1604,0.232
105,43,-51,-325,58,16.1111,61.1604,0.254
102,24,-54,-312,55,15.2778,58.3435,0.254
100,9,-66,-310,51,14.1667,54.6597,0.254
96,-6,-77,-319,51,14.1667,54.6597,0.302
92,-21,-76,-317,44,12.2222,48.3333,0.302
86,-41,-86,-316,38,10.5556,43.0236,0.59
83,-52,-91,-319,38,10.5556,43.0236,0.59
78,-69,-106,-313,32,8.88889,37.7596,0.547
69,-93,-118,-321,32,8.88889,37.7596,0.547
64,-107,-126,-308,25,6.94444,31.4037,0.527
54,127,-136,-309,25,6.94444,31.4037,0.527
48,114,-137,-297,22,6.11111,28.5334,0.527
41,98,-146,-304,19,5.27778,25.5253,0.503
32,79,-159,-310,17,4.72222,23.4314,0.503
24,61,-174,-309,14,3.88889,20.106,0.503
10,34,-189,-319,10,2.77778,15.2774,0.483
-6,11,-196,-324,7,1.94444,11.254,0.464
-18,-5,-211,-319,7,1.94444,11.254,0.464
-26,-19,-232,-318,6,1.66667,9.83532,0.464
-39,-37,-243,-317,3,0.833333,5.20155,0.44
-53,-51,-248,-314,1,0.277778,1.81818,0.424
-68,-69,-252,-320,1,0.277778,1.81818,0.424
-79,-85,-273,-315,1,0.277778,1.81818,0.424
-93,-101,-277,-319,0,0,0,0.424
-110,-118,-286,-322,-1,-0.277778,-1.81818,0.404
